,city,city_ascii,country,iso2,capital,population,continent,word_count
716,Pretoria,Pretoria,South Africa,ZA,primary,741651.0,AF,6769
9042,Mae Hong Son,Mae Hong Son,Thailand,TH,admin,6526.0,AS,426
9526,Aranguez,Aranguez,Trinidad and Tobago,TT,admin,,NA,0
9667,Vitanje,Vitanje,Slovenia,SI,admin,,EU,236
8918,Bentiu,Bentiu,South Sudan,SS,admin,7781.0,AF,874
7529,La Esperanza,La Esperanza,Honduras,HN,admin,21000.0,NA,399
7017,Mendefera,Mendefera,Eritrea,ER,admin,28492.0,AF,357
5488,Dabou,Dabou,Côte d'Ivoire,CI,admin,72913.0,AF,83
9352,Priboj,Priboj,Serbia,RS,admin,,EU,560
13367,Puerto Tejada,Puerto Tejada,Colombia,CO,minor,46166.0,SA,0
32126,Makhambet,Makhambet,Kazakhstan,KZ,minor,8905.0,AS,38
27753,Leidschendam,Leidschendam,Netherlands,NL,minor,10482.0,EU,1101
30602,Ahmetli,Ahmetli,Turkey,TR,minor,9790.0,AS,90
3395,Girón,Giron,Colombia,CO,minor,160403.0,SA,116
13222,Saint-Malo,Saint-Malo,France,FR,minor,46478.0,EU,1751
15364,Haguenau,Haguenau,France,FR,minor,34789.0,EU,1740
120,Dazhou,Dazhou,China,CN,minor,5468097.0,AS,630
3502,Zango,Zango,Nigeria,NG,minor,154743.0,AF,42
38651,Dusheti,Dusheti,Georgia,GE,minor,6167.0,AS,365
1917,Bamiantong,Bamiantong,China,CN,minor,330000.0,AS,0
14858,Kizilyurt,Kizilyurt,Russia,RU,minor,37171.0,EU,503
23762,Jędrzejów,Jedrzejow,Poland,PL,minor,15484.0,EU,1255
8181,Canatlán,Canatlan,Mexico,MX,minor,10342.0,NA,0
42505,Aouloumal,Aouloumal,Niger,NE,,6178.0,AF,0
24738,Daulatnagar,Daulatnagar,India,IN,,13235.0,AS,296
33379,Bad Schmiedeberg,Bad Schmiedeberg,Germany,DE,,8222.0,EU,255
